Topic,Category,Department,question,answer
Prairie Dogs,Animals,Planning Housing and Sustainability ,What do prairie dogs eat and how does it impact the landscape?,"Prairie dogs feed on a variety of vegetation, including grasses and, to a lesser extent, seeds and insects. Grasses and other vegetation are clipped close to the ground to allow for a greater range of sight. Burrowing and feeding prairie dogs affect prairie ecosystems by: modifying the physical structure and nutrient composition of the soil; causing changes in plant species composition and density by clipping foliage and roots; and providing breeding or resting sites for a variety of other species."
Prairie Dogs,Animals,Planning Housing and Sustainability ,"How do prairie dogs impact open space, agriculture and urban environments?","Due to the dispersal activities of prairie dogs and the significant lack of predators in the urban environment, prairie dogs are often in conflict with urban land uses. Prairie dogs: can cause costly damage to agricultural crops, landscaping, earthen dams, airports and golf courses; often settle along the edges of preserved open space and on small, fragmented parcels where development has boxed in or pushed out the colony over time; and move from one site to adjacent properties and forage on lawns and established landscaping. In addition to causing damage, prairie dogs can be a safety hazard. Many of the prairie dog colonies within Boulder are located in transportation right-of-ways. As the colonies expand, they sometimes disperse across roads, causing potential hazards to themselves and motorists. On open space, prairie dogs are an important native species that supports an entire community of associated species.   However, some other grassland community types and plant and animal species do not thrive with prairie dog occupation, so the Grassland Plan provides conservation strategies for prairie dogs and other grassland community types and ecosystems.   In areas where cattle grazing overlaps with native grasslands, grazing and prairie dogs overlap and are not seen as competing land uses.   However, on irrigated agricultural lands, the presence of prairie dogs makes continued agricultural production difficult or impossible.   These areas are designated as removal or transition areas and open space will manage these to be prairie dog free when opportunities for relocation or natural population reduction lead to conditions where prairie dogs can be excluded."
Prairie Dogs,Animals,Planning Housing and Sustainability ,What are the requirements for prairie dog management and control?,"City ordinance requires landowners to obtain a permit from the city before using any form of lethal control on prairie dogs. In order to obtain a permit, the landowner must demonstrate the following: a reasonable effort has been made to relocate the prairie dogs to another site; the most humane method of lethal control possible will be used; the land on which the prairie dogs are located will be developed within 15 months of the date of the application, a principal use of the land will be adversely impacted in a significant manner by the presence of prairie dogs on the site, or an established landscaping or open space feature will be adversely impacted by the prairie dogs; and the landowner has an adequate plan designed to prevent the reentry of prairie dogs onto the land after the prairie dogs are lawfully removed. Download the Prairie Dog Lethal Control Permit Application Form."
Prairie Dogs,Animals,Planning Housing and Sustainability ,What is the waiting period for a permit?,"The waiting period after the submission of an application is a minimum of three to five months. If the city determines that relocation alternatives exist during or after the initial three-to-five month period, it may delay issuing the permit for an additional 12 months in order to allow relocation to occur."
Prairie Dogs,Animals,Planning Housing and Sustainability ,What is the cost of a permit?,"The basic administrative fee for a permit is $1,500. An applicant for a prairie dog lethal control permit must also pay a fee of $1,200 per acre of active prairie dogs habitat lost, prorated for any partial acres of lost habitat."
Prairie Dogs,Animals,Planning Housing and Sustainability ,May I destroy a prairie dog burrow?,"No person may damage a prairie dog burrow unless at least one of the following circumstances exist: the burrow is uninhabited; the burrow is on the property of single-family residence; or the burrow was damaged in connection with an ongoing project or program that was pre-approved by the city manager. If you have development plans for your property that may be in conflict with prairie dogs on the site or if you have any questions about prairie dogs lethal control permits, visit the Urban Wildlife website. If prairie dogs are causing nuisance problems for you or the uses of your property, do not attempt to poison or kill the animals. Please call Urban Wildlife Conservation Coordinator Val Matheson at 303-441-3004."
Prairie Dogs,Animals,Planning Housing and Sustainability ,What are the requirements for relocation of prairie dogs?,"Landowners must provide the city with at least 20 days advance written notice of the initiation of the prairie dog relocation. Boulder's prairie dog protection history The history of Boulder's efforts to protect prairie dogs through legislation began in 1999. Concerns about the protection of prairie dogs arose from several incidents in Boulder and in some surrounding communities where large colonies of prairie dogs were poisoned. On Jan. 18, 2000, City Council adopted an ordinance prohibiting the poisoning of prairie dogs. The ordinance was amended on July 3, 2001 to prohibit destruction of active prairie dog burrows. In 2003, the Colorado Department of Agriculture notified the City of Boulder that the city's ordinance prohibiting prairie dog poisoning was preempted by state law regarding commercial pesticide applicators. The state's position was that the City of Boulder's ordinances needed to be either repealed or amended. City staff has since worked on revising the city's approach to the protection of prairie dogs. A study session was held with City Council in February 2004. At that session, Council endorsed the following ""six-step"" decision-making protocol for managing prairie dogs on private and public property. Minimize conflicts through non-removal methods. Remove prairie dogs on only a portion of a site. Evaluate the potential for relocation. Evaluate the potential for donation to animal recovery programs (which can include trapping and lethal control or live transfer). Evaluate the use of trapping and lethal control through carbon dioxide chambers. If the above steps are not feasible, apply poisons (fumitoxins) to the burrows. On Jan. 18, 2005, City Council adopted a final wildlife protection ordinance."
Prairie Dogs,Animals,Planning Housing and Sustainability ,How can I keep informed about wildlife topics in the City of Boulder?,"To sign up for email updates, select the City of Boulder Email Lists link and then select ""Wildlife Plan"" from the dropdown menu."
Prevention and Intervention,Family Services,Human Services ,Prevention and Intervention,"The Boulder County Prevention and Intervention Program is a multi-agency collaboration dedicated to providing prevention assessment, intervention, treatment, and referral services while promoting pro-social growth and empowerment of youth, families, schools and community. Within the City of Boulder, the program is available at Fairview, Boulder, and New Vista high schools, the Arapahoe Campus, and Manhattan, Centennial, Southern Hills and Casey middle schools. All Intervention Specialist services offered at the schools are voluntary, free of charge and confidential. Learn more about the Prevention and Intervention Program."
Projects Under Review,"Building Permits and Inspections, Planning and Zoning",Public Works ,Projects Under Review,Use the Map of Development Review Projects application to see what private and public development cases are currently under review within the Boulder city limits.
Prosecution,Legal,City Attorney ,"I received a ticket, do I have to appear at court or can I mail in the fine?","If your ticket is marked as a ""mail-in"" on the front top of the ticket, you may mail in the amount noted as the mail-in fine. Please read the back of your ticket carefully and follow the instructions printed on it. If you have any questions, call the Boulder Municipal Court at 303-441-1842. I received a ticket but I don't live in Colorado so I won't be able to appear in court."
Prosecution,Legal,City Attorney ,What can I do?,"If your ticket is marked as a mail-in ticket, you can follow the instructions on the back of your ticket and mail in the fine. If your ticket is marked as ""not a mail-in,"" you must send a written request to be allowed to plead guilty by mail. Include in your request the ticket number as well as a current address and phone number where you can be reached. Send your request to: City of Boulder City Attorney's Office Prosecution Division PO Box 8015 Boulder, Colorado 80306 When the written request is received, a motion to the court will be made asking the court to allow you to plead guilty by mail and pay a fine. If the motion is approved by the court, you will receive a copy of the motion from the court. You will need to sign the motion and pay the fine by the date noted in the motion. Please note that you may not plea bargain by mail - you may only plead guilty. If you want to try to plea bargain your case, you must appear in court or contact a private attorney to appear in your absence."
Prosecution,Legal,City Attorney ,"Can I speak with a prosecuting attorney before I come to court? Are you a defendant, witness or victim?","If you are a defendant with a traffic ticket, it is necessary to wait for the court date written on the ticket before speaking to a prosecuting attorney. When you appear in court, you will be advised by the judge of your legal rights. You will then have an opportunity to speak with a prosecuting attorney regarding your case. If you are a witness or a victim, you may call the Prosecution Division of the City Attorney's Office at 303-441-3025."
Prosecution,Legal,City Attorney ,What is an arraignment?,"An arraignment is the first court appearance for any traffic or other municipal code violation. At this hearing, the Municipal Court judge will hear all cases scheduled for that day's docket. Defendants appearing that day will be advised of their rights and given the opportunity to plead guilty or not guilty and to discuss their cases with a prosecuting attorney or attorney's assistant. A prosecuting attorney will review all traffic tickets before the arraignment date and make a plea bargain offer in writing, where appropriate. At your arraignment, you may accept this offer, enter your plea, and pay the fine and court costs assessed. If you do not wish to accept the plea offer, you may speak with a prosecuting attorney to discuss your case. Please be advised that the pre-screened offer is almost always the best offer that will be made by a prosecuting attorney and may not be changed. Each defendant who has met with a prosecuting attorney or attorney's assistant will then return before the Municipal Court judge and enter a plea of guilty or not guilty. Those entering guilty pleas will be assessed court fees and fines, pay for any damages caused by their actions, and their case will be at an end. Those entering not guilty pleas will be assigned another court date for a trial of their case."
Prosecution,Legal,City Attorney ,Do I need to bring an attorney with me to my arraignment?,"An attorney is generally not needed at an arraignment, although individuals can choose to bring private attorneys with them."
Prosecution,Legal,City Attorney ,"What is a disposition (""dispo"")?",A disposition is a final resolution of a case. You must appear in court before the judge. It may include an agreed-upon plea and sentence negotiated between a prosecuting attorney and defendant. All dispositions must be approved by a judge in open court. A disposition date is set by the Municipal Court and can only be changed by the court. Call 303-441-1842 for more information.
Prosecution,Legal,City Attorney ,What is a pretrial conference?,"A pretrial conference is a meeting between a prosecuting attorney and a defendant and/or defendant's attorney to discuss the case and the possibility of a plea agreement. A pretrial conference can be held on the day of a defendant's arraignment after the court has advised the defendant of their legal rights. If a defendant has an attorney, the attorney can call and schedule a pretrial conference at a time other than the day of arraignment. In some complex cases, a second appointment may be made for a pretrial conference at a later date."
Prosecution,Legal,City Attorney ,"I received a waiver of personal service and a subpoena in the mail, what are my options, and who can I call if I have questions about this?","The subpoena waiver is mailed to all prosecution witnesses needed to appear at a trial in Boulder Municipal Court. It is important that the signed subpoena waiver be mailed back as soon as possible. You will then be legally required to appear as a witness at trial. If the waiver is signed and returned in the stamped envelope provided, you will not have to be personally served. The name of the defendant and the date and time of the trial are noted in the subpoena waiver. Options:  Sign and return the subpoena waiver as soon as possible and appear in court on the trial date to testify. Do not sign or return the waiver. If not returned within seven days before trial, a police officer or process server may be sent to your home or business to personally serve your subpoena. Call the Prosecution Division of the City Attorney's Office at 303-441-3025 for more information."
Prosecution,Legal,City Attorney ,I missed my court date. What do I do now?,"If you missed your arraignment date (first court appearance on a ticket), disposition, or trial, please call the Boulder Municipal Court at 303-441-1842. If you missed a pretrial conference with a prosecuting attorney, please call the Prosecution Division of the City Attorney's Office at 303-441-3025. If you also had a disposition set for the same day and missed it as well, you must first call the court at 303-441-1842."
Public Tree Issues,Trees and Landscaping,Parks and Recreation ,Public Tree Issues,"Please do NOT use Inquire Boulder to report potentially dangerous tree situations (i.e. leaning or storm damaged trees, large broken branches hanging in trees, etc).   For these issues please contact the Urban Forestry office directly at 303-441-4406.   Forestry is currently receiving a high volume of calls due to emerald ash borer and tree damage. As a result, it could take up to a month for a Forestry staff person to respond to your request. If the request is for a tree emergency however, please contact the Forestry and Park Operations administrative staff directly at 303-441-4406 and specify that it is an emergency. Thank you.  Public Tree Issues: The Parks & Recreation Urban Forestry workgroup manages approximately 51,000 public trees in city parks and in street rights-of-way. Programs and services include: Rotational pruning for tree health and safety of public trees, Street Tree Planting program, Removal of dead, diseased or potentially dangerous trees, Tree Safety Inspection program, Integrated Pest Management program, Commercial Tree program, Arborist Licensing.  Urban Forestry prunes trees in city parks and in public street rights-of-way on a rotational basis to enhance tree health and ensure public safety. Trees are pruned to remove dead or broken branches, provide clearance over streets and sidewalks, improve branching structure, and to promote the overall health of trees. Currently, the street trees are on a 10-year pruning rotation and the city park trees on an 8-year pruning rotation. Trees will be pruned outside of the rotation only when there are large broken branches or large deadwood."
Public Tree Issues,Trees and Landscaping,Parks and Recreation ,When will my request be completed?,"That depends... For any potentially dangerous public tree pruning/removal requests and emergency situations, please state that it is an emergency in the request or call the Forestry office directly at 303-441-4406. For emergency requests, staff will inspect the tree within 24 hours and remedy the situation as soon as possible depending upon the severity of the situation. All general pruning requests are inspected by Forestry staff within two weeks and prioritized accordingly. Lower priority requests may be put on an upcoming contract or may need to wait until the next pruning rotation. Most city contracted tree work occurs in the fall or winter for efficiency reasons and because it's better for the overall health of the trees.   Adjacent property owners are permitted to prune street trees on public property; however, city code requires that you hire only a licensed certified arborist to prune public trees. More information and list of licenced and certified arborists and tree contractors: Forestry staff will enforce removal of potentially dangerous trees on private property only if they would impact public property if they failed. Private trees that would only impact private property are a civil matter between adjacent property owners. For more information or to place a service request for a forester to inspect your public tree, please call the Urban Forestry office at 303-441-4406."
Public Works Volunteer Work Reporting,Transportation,Public Works ,Public Works Volunteer Work Reporting,This form is for Public Works volunteers to report work accomplished to staff.   Please indicate if you have trash bags or equipment that needs to be picked up.   Please indicate in the description if you found graffiti during your work.   Please report hours worked and the number of volunteers that participated.
Records Requests,Legal,City Attorney ,"How can I find out if Boulder has a specific law, regulation or requirement, who can I call?","Contact Central Records at 303-441-3043, review a hard copy of the Boulder Revised Code at the Boulder Public Library or in the Central Records, or view the Boulder Revised Code online. Central Records: City of Boulder Municipal Building, 1777 Broadway, Boulder, CO, 80302  Central Records maintains the City of Boulder's official files and is responsible for researching and providing copies of official city actions at the request of residents, media and city departments. Examples of city records that Central Records keeps include: deeds (for house and property deeds, please contact Boulder County); easements; contracts, agreements and leases; resolutions; ordinances; board packets and minutes; City Council packets and minutes; open space acquisitions; and land use documents (completed and closed projects only) such as annexations, development agreements and use reviews. The city records listed above are only an example and this list is not comprehensive. If you would like to request official City of Boulder information, please complete the Open Records Request Form and email Central Records at centralrecords@bouldercolorado.gov. Colorado Open Records Act: The Colorado Open Records Act (CORA) requires that most public records be accessible to the public. Anyone can request the information that Central Records possesses."
Recreation Equipment Issues,Recreation,Parks and Recreation ,Recreation Equipment Issues,Recreation Equipment Issues:   Please let us know if you notice broken or damaged recreation equipment in City of Boulder Recreation Centers. Thanks for your help!
Recreation Facilities Issues,Recreation,Parks and Recreation ,Recreation Facilities Issues,Recreation Facilities Issues:   Please let us know if you notice anything broken or damaged in a City of Boulder Recreation facility. Thanks for your help!
Reimbursement for Professional Development,"Grants, Rebates and Funding Opportunities",Library ,Reimbursement for Professional Development,"Boulder Arts Commission - Reimbursement for Professional Development Classes (up to $100) To encourage artists and creative arts organization directors, staff, and board members to seek out entrepreneurial training, the BAC offers a reimbursement of up to two-thirds of the cost of a professional development class, up to $100. Applications for reimbursement are available year-round, with deadlines on the first of each month. Awards will be made at the monthly Boulder Arts Commission (BAC) meetings. For more information and to apply, please visit the Boulder Arts website."
Rental Housing Licensing Code Violations,Code Enforcement,Public Works ,Rental Housing Licensing Code Violations,"The Boulder Revised Code and Property Maintenance Code require all rental properties in Boulder to maintain a valid rental license. The code also establishes minimum standards for the safe use and occupancy of dwellings to protect, preserve, and promote residents' physical and mental health. View frequently asked questions about rental housing licensing in Boulder. The Rental Housing Licensing program seeks to preserve public safety by establishing minimum standards for the basic equipment and facilities associated with rental properties, including: lighting, ventilation and heating; the use and amount of space for human occupancy; fire safety; and the safe and sanitary maintenance of dwellings. Obtaining a rental license is the responsibility of the property owner and the discovery of an unlicensed rental property will result in legal action. To report a violation of the rental housing licensing code, make a service request or call 303-441-1880.   P&DS also investigates code violations and concerns related to building safety, right of ways, and zoning. The Boulder Police Department's Code Enforcement Unit responds to all other property maintenance and nuisance code violations that affect public safety and quality of life."
"Rentals - Landlords, Tenant & Roommate Information",Housing,Housing ,"Rentals - Landlords, Tenant & Roommate Information","The City of Boulder Community Mediation Service provides landlord/tenant and roommate rights resources and information for properties located within the city limits of Boulder, in addition to dispute resolution assistance. For more information about Community Mediation Service, call 303-441-4364."
Report Substance Spills,Water and Sewer,Public Works ,Report Substance Spills,"Whether you see a spill in progress or need to dispose of household hazardous waste, please take the proper actions. Improper chemical disposal is a disaster for our water if it ends up on our driveways and roads and washes into the storm drain system, which drains directly to our creeks. Please look out for anything but rain water entering the street or gutters. What to watch for and report: Spills from traffic accidents; Someone rinsing a paintbrush in the gutter (Let the person know they should rinse the brush in the sink, which drains to the wastewater treatment plant.); A floor drain in a building connected to the storm drainage system; Landscaping materials in the right of way; Wastewater from mobile cleaning operations; and Concrete wash out. If you see a spill, pollution, or other improper discharge in the storm drains or creeks, please report it immediately by calling Boulder County Sheriff at 303-441-4444."
Right-of-Way Code Violations,Code Enforcement,Public Works ,Right-of-Way Code Violations,"Planning and Development Services (P&DS) staff investigates right-of-way code violations and concerns. To report a right-of-way code violation, make a service request below or call 303-441-1880. P&DS also investigates code violations and concerns related to building safety, rental housing licensing and zoning. The Code Enforcement Unit, part of the Boulder Police Department, responds to all other property maintenance and nuisance code violations that affect public safety and quality of life in the City of Boulder. Please call Code Enforcement at 303-441-3333 to ask questions or report a code violation to dispatch."
Sales Tax,"Licensing, Permits and Fees/Taxes",Finance ,Do I have to have a sales/use tax license with the City of Boulder?,You must have a tax license if you are located in the city or if you have created nexus with the city. Even if you are a service enterprise and are not collecting sales tax you must be licensed. View the 2014 and 2015 Tax Rates for the City of Boulder.
Sales Tax,"Licensing, Permits and Fees/Taxes",Finance ,What is the sales tax rate for the City of Boulder?,"The city's 2014 sales tax rate is 3.56 percent. Effective Jan. 1, 2015, the city's sales tax rate is 3.86 percent."
Sales Tax,"Licensing, Permits and Fees/Taxes",Finance ,What is the use tax rate for the City of Boulder?,"The city's 2014 use tax rate is 3.56 percent. Effective Jan. 1, 2015, the city's use tax rate is 3.86 percent."
Sales Tax,"Licensing, Permits and Fees/Taxes",Finance ,What is the construction use tax rate for the City of Boulder?,"The city's 2014 construction use tax rate is 3.56 percent. Effective Jan. 1, 2015, the city's use tax rate is 3.86 percent."
Sales Tax,"Licensing, Permits and Fees/Taxes",Finance ,What is the food service tax rate for the City of Boulder?,"The city's 2014 food service tax rate is 3.71 percent. Effective Jan. 1, 2015, the city's food service tax rate is 4.01 percent."
Sales Tax,"Licensing, Permits and Fees/Taxes",Finance ,What is the accommodations tax rate for the City of Boulder?,The city's 2014 and 2015 accommodations tax rate is 7.5 percent.
Sales Tax,"Licensing, Permits and Fees/Taxes",Finance ,What is the admissions tax rate for the City of Boulder?,The city's 2014 and 2015 admissions tax rate is 5 percent.
Sales Tax,"Licensing, Permits and Fees/Taxes",Finance ,Who is exempt from paying sales tax in the City of Boulder?,"Federal, state and local governmental employees provided that they are on official business and payment is made directly from the governmental agency. Charitable and religious organizations provided that they have an exempt license with the City of Boulder (see Tax Exempt License List), the purchase will be used in the conduct of the organization's regular activities to foster its charitable purpose and payment will be made directly from the exempt entities funds. See TR9: Charitable, Religious and Governmental Exemptions for additional information. Contractors purchasing construction materials to be used for installation, use or consumption on job sites within the City of Boulder on which a City building or right-of-way permit has been issued and where construction use tax has been paid. See TR13: Construction and Contractors for additional information."
Sales Tax,"Licensing, Permits and Fees/Taxes",Finance ,What is use tax?,Use tax is remitted by the purchaser/user of tangible personal property or taxable services when the City of Boulder sales tax was not charged by the seller. See TR43: Use Tax for additional information.
Sanitary Sewer Maintenance,Water and Sewer,Public Works ,Sanitary Sewer Maintenance,"The City of Boulder owns and maintains about 355 miles of sewer pipe with more than 9,200 manholes. The sewer department performs routine maintenance and cleaning of the sanitary sewer collection system as well as responding to emergency maintenance events as needed.   Sanitary sewer maintenance includes routine testing to determine if there are structural deficiencies and improper connections with the city sanitary sewer system. For these tests nontoxic smoke is blown into the sewer system at manholes along the city sewer mains and city crews look for the smoke to surface to locate sewer connections and potential problem areas. This is called smoke testing and is a technique used to find deficiencies in the sanitary sewer system and improper connections that are allowing unwanted groundwater and storm water into the sewers. The city's sanitary sewer system is a separate system from the city's storm sewer system and it is not intended to convey excessive groundwater or stormwater. Smoke testing helps city crews identify the approximate location of the deficiencies and improper connections so that follow up investigations and repairs can be performed. If smoke testing is scheduled in your area, you will receive the following Smoke Testing Sewer Lines Notice. For more information, please review the Smoke Testing Sewer Lines FAQs. Normal business hours are 7 a.m. to 3:00 p.m., Monday-Friday. After hours staff respond to true emergency events, such as sewer backups, overflows and missing manhole covers. To report an emergency issue including a missing manhole cover, sewage backup, sewage overflow (sewer discharge out of a manhole) or outside sewer odor, please call 303-441-3200 between 7 a.m. and 5:00 p.m. Monday-Friday. At any other time, please call 303-441-3245.   Please report all emergency issues by phone (do NOT make an online service request) to ensure a prioritized response by city staff.   In the event of a sewer backup on your property, the city will respond and determine the cause of the backup and assist if possible. Sewer customers should be aware that the sanitary sewer service line is the responsibility of the property owner up to and including the connection to the city-owned sewer main. If the problem is determined to be in the sewer service line, it is recommend that you call a plumber to investigate and resolve the problem. For all non-emergency sewer issues, please submit a service request for this item in the 'Make a Service Request' area below. Do NOT use Inquire Boulder to request utility locates prior to digging. All requests for utility locates must go through the 811 dispatch center. For more information on locating underground utilities, please see the Locate an Underground Utility page."
Scalping Tickets,Legal,City Attorney ,Is scalping tickets against the law in Boulder?,The City of Boulder has no ordinance prohibiting resale of event tickets within the city limits.
School Zone Flashing Beacons,Transportation,Public Works ,School Zone Flashing Beacons,"School zone flashing beacons are provided at 32 locations throughout the city of Boulder. They lower the speed limit on a section of roadway during periods of school-related travel. The beacons surrounding the speed limit sign flash during these times to indicate that the lower speed limit is in effect. School zone flashing beacons are placed at locations where school-age children cross the street, and in front of school areas where student pickup and drop-off occurs. The flashing schedule for each zone is determined based on the bell schedule for the school(s) associated with the zone. Typically, the flashing beacons begin operation 30 minutes prior to the beginning of the school day, and continue flashing until 10 minutes after class begins. At the end of the school day, the beacons begin flashing 5 minutes before student dismissal, and continue for 30 minutes after school ends. At schools with half day Kindergarten or students leaving campus for lunch, additional periods of flashing operation are provided in the middle of the day. You may report a problem with the operation of an existing school zone flashing beacon or contact the city about any other issues or questions regarding school zones in the form below. Location: Please use the nearest intersection or address so the mapping application can track your request (for example: Arapahoe & Broadway). Once you type in the location and click outside of the field, the map should appear with your location.   You can move the red dot around to get closer to the actual location if needed. Description: Use this field to indicate more specifics about the location and request."
Sealing Minor in Possession (MIP) Records,Municipal Court/Traffic Violations,Municipal Court ,Sealing Minor in Possession (MIP) Records,"This information applies only to MIP cases filed in the City of Boulder Municipal Court (yellow tickets). If your MIP case was filed in the Boulder County Court (white tickets), download the Sealing a Case - Underage Alcohol Forms."
Sealing Minor in Possession (MIP) Records,Municipal Court/Traffic Violations,Municipal Court ,Can the record of my MIP be sealed?,"Yes, in most cases. If you had a Deferred Prosecution or a Deferred Judgment that resulted in a DISMISSED disposition, and there were no additional charges other than MIP, the court will automatically seal your record as soon as your Deferred Prosecution or Deferred Judgment is completed. Deferred Prosecutions are eligible to be sealed after the alcohol/drug class has been completed. Deferred Judgments are generally able to be sealed after nine months. If you have an additional charge and it was part of a Deferred Prosecution or Deferred Sentence agreement that resulted in a DISMISSED disposition, you may petition the court to seal that additional charge for a $65 sealing fee."
Sealing Minor in Possession (MIP) Records,Municipal Court/Traffic Violations,Municipal Court ,What if I pled guilty or was found guilty of the MIP charge?,"If you pled guilty, you can petition the court to seal your record one year after the date of your guilty plea. The petition will be granted as long as you have not had any new charges during that one-year period. If you were found ""Not Guilty"" or your case was dismissed, you can petition the court to seal your record immediately."
Sealing Minor in Possession (MIP) Records,Municipal Court/Traffic Violations,Municipal Court ,What if I pled guilty to another charge in addition to my MIP charge?,"If you pled guilty to an additional charge and it was not part of a Deferred Prosecution or Deferred Sentence agreement, the record of that charge cannot be sealed automatically. This is most common when the additional charge is Possession or Consumption of Alcohol in Public, Urinating in Public, or Littering. If you pled guilty to an additional charge and it was part of a Deferred Prosecution or Deferred Sentence agreement, then the record of all charges can be sealed once the Deferred Prosecution or Deferred Sentence has been successfully terminated. In these cases, the request to seal your record must be filed in the District Court for the 20th Judicial District (Boulder). Download the Sealing a Case - Underage Alcohol Forms."
Sealing Minor in Possession (MIP) Records,Municipal Court/Traffic Violations,Municipal Court ,How much does it cost to seal my MIP record?,MIP records that are part of a Deferred Prosecution or Deferred Sentence agreement AND result in a DISMISSED disposition are eligible for automatic sealing. There is no charge to automatically seal an MIP record.
Sealing Minor in Possession (MIP) Records,Municipal Court/Traffic Violations,Municipal Court ,Do I need to do anything more after my request to seal my record is granted?,"In most cases, the court will send a copy of the court order to seal to the law enforcement agency that issued the ticket. It will go to either the Boulder Police Department, CU Police Department, or Open Space & Mountain Park. It is important that you keep a copy for your records as well."
Sealing Minor in Possession (MIP) Records,Municipal Court/Traffic Violations,Municipal Court ,How do I answer questions about my criminal history if my MIP record has been sealed?,"This is what state law C.R.S. §24-72-308(f) says about the effect of sealing a court record: (I) Employers, educational institutions, state and local government agencies, officials, and employees shall not, in any application or interview or in any other way, require an applicant to disclose any information contained in sealed records. An applicant need not, in answer to any question concerning arrest and criminal records information that has been sealed, include a reference to or information concerning such sealed information and may state that no such action has ever occurred. Such an application may not be denied solely because of the applicant's refusal to disclose arrest and criminal records information that has been sealed. There are exceptions to 24-72-308(f) for prospective attorneys and licensed educators."
Sealing Minor in Possession (MIP) Records,Municipal Court/Traffic Violations,Municipal Court ,How can you seal a record that is not an MIP?,"Effective September 1, 2017, new sealing laws went into effect making it possible for municipal courts to seal records for a fee. Click on this link to learn more about it. Record Sealing"
Senior Centers,Senior Services,Human Services ,Senior Centers,"The City of Boulder operates two senior centers within the city limits of Boulder. West Senior Center 909 Arapahoe Ave. Boulder, CO 80302 303-441-3148  Open 8 a.m. to 5:00 p.m., Monday through Friday   East Senior Center  5660 Sioux Drive Boulder, CO 80303 303-441-4150  Open 7:30 a.m. to 4:30 p.m., Monday through Friday    Room Rentals The East and West Senior Centers have more than a dozen rooms in a variety of sizes that are available for rent to suit every need from a small meeting to a large event for 175 people. For information about room rentals, visit West Senior Center- Room Rentals or East Senior Center- Room Rentals."
Senior Services Programs,Senior Services,Human Services ,Senior Services Programs,"Case management and community service referrals Senior Services provides bilingual case management and referrals to community services.   Our Resource Specialists offer individualized consultation with a focus on low-income seniors, basic-needs financial applications assistance, caregiver support, respite assistance and education.   Services are available to those age 60 and up and their families.   Call 303-441-4388. Health, wellness and lifelong learning opportunities: We offer SilverSneakers® and other fitness programs, preventive health screenings and seminars and classes through a variety of community partnerships. SilverSneakers® is a registered mark of Healthways, Inc.   Educational classes and seminars in technology, life skills and aging issues, creative pursuits and day trips are available to those age 55 and up.   Visit Senior Services for information about current offerings as well as ongoing activites held at the senior centers, or call the West Senior Center at 303-441-3148 or the East Senior Center at 303-441-4150."
Sewer Backup Prevention,Water and Sewer,Public Works ,Sewer Backup Prevention,"Boulder's sanitary sewer system consists of underground pipes that utilize gravity to collect and transport untreated wastewater from residential, commercial, and industrial properties to the city's wastewater treatment facility. This wastewater collection system consists of 355 miles of city-owned sewers and an estimated equal length of privately owned sewer laterals that connect properties to the city's main. The City of Boulder provides routine maintenance, cleaning, and rehabilitation of the city-owned sewer system; however, there is the potential for an unforeseeable sewer blockage or excessive inflow of stormwater into both the city's sewers and privately-owned laterals during extreme rain events. If such an event occurs, wastewater may back up into a building through floor drains, sinks, showers or toilets. Boulder wastewater customers that reside in areas that are prone to such events, including historic districts and low-lying areas, may experience sewer backups. Customers with basements and below-ground properties may also have an increased likelihood of sewer backups. These customers may choose to install backwater valves on their sewer laterals, which are designed to temporarily block sewer pipes and prevent sewage from flowing back up a private sewer lateral. Backwater valves are designed to close either automatically via a float system or manually by closing a valve to prevent wastewater from backing up into a building. While backwater valves are closed, customers cannot use any plumbing fixtures such as toilets or sinks. Once backwater valves are reopened, wastewater resumes its regular flow through the sewer pipes. Licensed plumbers should evaluate each property's specific plumbing configurations to determine whether a backwater valve can be installed in accordance with Uniform Plumbing Code and then provide recommendations about the correct types of devices to use and where to install them. All types of backwater valves must be regularly cleaned, inspected, tested and maintained to ensure that they are functioning properly. A City of Boulder plumbing permit and inspection are required and all types of backwater valves must be installed on existing sanitary sewer lines by a licensed plumbing contractor. Private property owners can also purchase insurance coverage for sewer backups. Visit bouldercolorado.gov/flood/flood-insurance or www.floodsmart.gov for details."
Sewer Odor Problem,Water and Sewer,Public Works ,Sewer Odor Problem,"If you experience sewer odor problems inside your house, pour two to three gallons of water slowly down the floor drain or any unused sink, shower or bathtub. This will refill the P-trap, which is intended to block sewer odors from entering the house from the service line. Then open windows to vent the affected area. If the odor does not dissipate within several hours or if you are smelling a sewer odor outdoors, please call Utilities Maintenance at 303-441-3200 between 7 a.m. and 5:00 p.m., Monday-Friday. At any other time, please call 303-441-3245."
Shelter and Facility Rentals on Open Space,Open Space and Trails,Open Space and Mountain Parks ,Shelter and Facility Rentals on Open Space,"Open Space and Mountain Parks (OSMP) Facility Rentals  Reservations can be made online, 24-hours a day. If staff assistance is required to make a reservation or modify an existing reservation, applicants will be charged a $25 administrative fee. For more information, visit the Shelter & Facility Rentals website."
